"Champion","2015-1","2015-2","2015-3","2015-4","2016-1","2016-2","2016-3","2016-4","2017-1","2017-2","2017-3","2017-4","2018-1","2018-2","2018-3","2018-4","2019-1","2019-2","2019-3","2019-4","2020-1","NumberOfQuartalsPresent","Mean","Sum"
"Aatrox",0.0018,0.0019,0.0023,0.002,0.0015,0.002,0.0029,0.009,0.0087,0.0097,0.0076,0.0109,0.0105,0.0441,0.3091,0.3095,0.1739,0.2365,0.2884,0.081,0.0425,22,0.07,1.5558
"Ahri",0.1672,0.0488,0.0344,0.0107,0.0074,0.0085,0.0111,0.0114,0.0224,0.1142,0.0669,0.0228,0.0116,0.0281,0.0465,0.0528,0.0461,0.0586,0.056,0.0435,0.0218,22,0.04,0.8908
"Akali",0.1081,0.0034,0.0026,0.0019,0.014,0.0042,0.01,0.0105,0.0051,0.0138,0.0376,0.024,0.0355,0.0136,0.3802,0.638,0.286,0.2239,0.2241,0.2721,0.2089,22,0.11,2.5175
"Alistar",0.0019,0.0064,0.0226,0.0051,0.1518,0.1443,0.0304,0.0233,0.0032,0.0036,0.0157,0.0506,0.1542,0.0917,0.0837,0.1378,0.06,0.0258,0.0142,0.0096,0.004,22,0.05,1.0399
"Amumu",0.0051,0.0155,0.005,0.0025,0.0037,0.0077,0.0156,0.0111,0.0027,0.0162,0.0054,0.0023,0.0018,0.0021,0.0035,0.0048,0.0056,0.0197,0.0095,0.0058,0.0044,22,0.01,0.15
"Anivia",0.0016,0.0017,0.0023,0.0061,0.0046,0.0077,0.025,0.008,0.0033,0.0138,0.0272,0.0204,0.0387,0.0574,0.0346,0.0241,0.019,0.0154,0.0122,0.0081,0.0063,22,0.02,0.3375
"Annie",0.0418,0.0662,0.0734,0.0262,0.0061,0.0201,0.0243,0.0179,0.007,0.0101,0.0149,0.0093,0.0046,0.0056,0.0061,0.0058,0.0061,0.0054,0.0058,0.0065,0.0027,22,0.02,0.3659
"Aphelios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6236,0.5119,3,0.38,1.1355
"Ashe",8e-04,0.0046,0.0012,9e-04,9e-04,0.0025,0.0203,0.0025,0.0013,0.0043,0.0033,0.0026,0.0016,0.0019,0.0019,0.0021,0.0024,0.0034,0.0096,0.0315,0.0038,22,0,0.1034
"AurelionSol",NA,NA,NA,NA,NA,0.026,0.0163,0.0196,0.0025,0.0046,0.0049,0.0047,0.0072,0.0091,0.0074,0.0044,0.0033,0.0026,0.0039,0.0038,0.003,17,0.01,0.1233
"Azir",0.1872,0.0463,0.0959,0.0081,0.0052,0.1505,0.0764,0.0041,0.0022,0.0025,0.0067,0.1218,0.1396,0.0183,0.0035,0.0029,0.0036,0.0045,0.0071,0.0029,0.0026,22,0.04,0.8919
"Bard",0.0468,0.0063,0.0024,0.003,0.03,0.0045,0.0075,0.0042,0.0014,0.0032,0.0048,0.0051,0.0055,0.0042,0.0029,0.0029,0.0029,0.0024,0.0035,0.004,0.0106,22,0.01,0.1581
"Blitzcrank",0.0341,0.0174,0.0113,0.0122,0.0099,0.0252,0.0331,0.0225,0.0169,0.0575,0.2383,0.1955,0.1267,0.1111,0.0979,0.0963,0.079,0.0827,0.1054,0.2802,0.1677,22,0.08,1.8209
"Brand",8e-04,7e-04,0.0012,0.0522,0.0343,0.0662,0.0198,0.0244,0.0128,0.0143,0.0221,0.0146,0.0307,0.0597,0.1061,0.1072,0.1283,0.0677,0.0566,0.0442,0.0144,22,0.04,0.8783
"Braum",0.0163,0.0041,0.0062,0.0058,0.0205,0.0218,0.0315,0.0183,0.0045,0.0086,0.0236,0.0177,0.0729,0.0482,0.0383,0.0409,0.0347,0.0261,0.0146,0.0107,0.0078,22,0.02,0.4731
"Caitlyn",0.0028,0.002,0.002,0.0044,0.0014,0.0107,0.0115,0.0294,0.0214,0.1451,0.2085,0.0388,0.0592,0.1258,0.0119,0.0149,0.0582,0.0499,0.0789,0.1276,0.1171,22,0.05,1.1215
"Camille",NA,NA,NA,NA,NA,NA,NA,0.6752,0.5872,0.096,0.026,0.0202,0.2274,0.2784,0.2229,0.2352,0.1003,0.014,0.0162,0.0123,0.0117,15,0.17,2.523
"Cassiopeia",0.0325,0.0602,0.007,0.0012,0.001,0.0037,0.0491,0.0678,0.0157,0.0116,0.0197,0.0087,0.0169,0.0193,0.0061,0.0396,0.0548,0.0056,0.0088,0.0563,0.0878,22,0.03,0.5734
"Chogath",0.0074,0.1626,0.0716,0.0063,0.0021,0.0032,0.0025,0.0021,0.0067,0.0037,0.3651,0.2068,0.0297,0.0232,0.015,0.0097,0.0061,0.0068,0.0073,0.0076,0.0056,22,0.04,0.9511
"Corki",0.0021,7e-04,8e-04,0.0013,0.088,0.0077,0.0015,0.0018,0.0226,0.0021,0.0116,0.0057,0.0059,0.0024,0.0016,0.0018,0.0034,0.0051,0.0075,0.0024,0.0014,22,0.01,0.1774
"Darius",0.0029,0.0027,0.2594,0.5568,0.0662,0.1124,0.2224,0.1578,0.1551,0.2172,0.2923,0.1782,0.1446,0.3103,0.362,0.312,0.2883,0.2889,0.2929,0.3041,0.3465,22,0.22,4.873
"Diana",0.004,0.0125,0.1238,0.0953,0.0134,0.0128,0.0103,0.0059,0.0034,0.0051,0.0302,0.0197,0.011,0.0135,0.0142,0.0134,0.0171,0.0159,0.0419,0.0933,0.2255,22,0.04,0.7822
