"Champion","2015-1","2015-2","2015-3","2015-4","2016-1","2016-2","2016-3","2016-4","2017-1","2017-2","2017-3","2017-4","2018-1","2018-2","2018-3","2018-4","2019-1","2019-2","2019-3","2019-4","2020-1","NumberOfQuartalsPresent","Mean","Sum"
"Aatrox",0.0133,0.0138,0.0196,0.0169,0.0142,0.0113,0.0107,0.0105,0.0117,0.0204,0.0104,0.0134,0.023,0.0477,0.0897,0.1242,0.0671,0.1088,0.1305,0.0821,0.0912,22,0.04,0.9305
"Ahri",0.2039,0.177,0.1714,0.1255,0.1531,0.1224,0.1289,0.1363,0.1716,0.2157,0.1245,0.0749,0.0701,0.0911,0.1108,0.1039,0.0986,0.1093,0.097,0.0818,0.0645,22,0.12,2.6323
"Akali",0.0361,0.0192,0.0209,0.0203,0.0245,0.0284,0.0347,0.0299,0.0325,0.0434,0.0395,0.0391,0.0416,0.0242,0.0609,0.0839,0.0696,0.1009,0.123,0.1435,0.0777,22,0.05,1.0938
"Alistar",0.0746,0.1248,0.1632,0.1398,0.2222,0.1687,0.1074,0.1078,0.052,0.0521,0.0797,0.1032,0.1358,0.1048,0.1098,0.1153,0.0732,0.0456,0.0403,0.0364,0.0346,22,0.1,2.0913
"Amumu",0.0748,0.1011,0.0641,0.058,0.0592,0.0616,0.0662,0.0485,0.0298,0.0541,0.0357,0.021,0.0171,0.0171,0.0195,0.0258,0.0236,0.0565,0.0364,0.0322,0.0308,22,0.04,0.9331
"Anivia",0.0245,0.0271,0.0309,0.0477,0.0467,0.0441,0.0603,0.036,0.0403,0.0618,0.0543,0.0449,0.061,0.0581,0.044,0.0355,0.0333,0.0287,0.0268,0.0234,0.0256,22,0.04,0.855
"Annie",0.1469,0.1291,0.1105,0.0852,0.0589,0.0695,0.0667,0.0626,0.0536,0.0547,0.0432,0.0316,0.0239,0.0248,0.0243,0.0225,0.0238,0.0225,0.0203,0.0259,0.0164,22,0.05,1.1169
"Aphelios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1585,0.1257,3,0.09,0.2842
"Ashe",0.0363,0.081,0.0739,0.0671,0.0349,0.0714,0.1837,0.0873,0.0999,0.143,0.0982,0.0635,0.0343,0.0371,0.0475,0.0464,0.0495,0.0638,0.096,0.1462,0.0702,22,0.07,1.6312
"AurelionSol",NA,NA,NA,NA,NA,0.0238,0.0261,0.0263,0.0173,0.0224,0.0146,0.0144,0.0217,0.0229,0.0197,0.0098,0.0081,0.0071,0.0133,0.0129,0.013,17,0.02,0.2734
"Azir",0.0492,0.0852,0.0931,0.0546,0.0509,0.148,0.0549,0.0219,0.023,0.019,0.0216,0.0907,0.0941,0.0277,0.0176,0.0174,0.0207,0.0286,0.0306,0.0157,0.0194,22,0.04,0.9839
"Bard",0.0576,0.0669,0.0556,0.0867,0.1207,0.1293,0.1274,0.0995,0.052,0.0801,0.0662,0.0616,0.0648,0.0532,0.0422,0.0382,0.0382,0.032,0.0385,0.0391,0.0674,22,0.06,1.4172
"Blitzcrank",0.2305,0.1702,0.1898,0.1956,0.1661,0.1585,0.1301,0.1181,0.137,0.1434,0.1326,0.1081,0.0824,0.0615,0.0633,0.0663,0.0655,0.0584,0.0785,0.1223,0.1037,22,0.12,2.5819
"Brand",0.027,0.0276,0.0394,0.0923,0.0546,0.0631,0.0665,0.0996,0.0826,0.0813,0.0673,0.0502,0.0605,0.0844,0.0855,0.0905,0.0727,0.0517,0.0551,0.0492,0.0358,22,0.06,1.3369
"Braum",0.0894,0.0774,0.1294,0.1223,0.1377,0.174,0.1439,0.0992,0.0673,0.0844,0.0831,0.0614,0.1263,0.082,0.0755,0.0721,0.0715,0.0533,0.0418,0.0375,0.0543,22,0.09,1.8838
"Caitlyn",0.1902,0.1502,0.1468,0.1488,0.1164,0.2143,0.1786,0.2954,0.2477,0.3233,0.1548,0.1406,0.1805,0.1899,0.0782,0.099,0.1556,0.1383,0.1787,0.2124,0.1865,22,0.17,3.7262
"Camille",NA,NA,NA,NA,NA,NA,NA,0.0947,0.0563,0.0436,0.0427,0.0543,0.1488,0.1644,0.1512,0.1543,0.0773,0.0465,0.0677,0.0604,0.0638,15,0.08,1.226
"Cassiopeia",0.0573,0.0775,0.0284,0.0194,0.0198,0.0221,0.0557,0.0738,0.0553,0.0483,0.0467,0.0272,0.0464,0.0491,0.0274,0.0444,0.0502,0.02,0.0261,0.0506,0.0735,22,0.04,0.9192
"Chogath",0.0652,0.1224,0.0609,0.0391,0.0322,0.0302,0.0262,0.0206,0.0235,0.0277,0.0844,0.0732,0.0503,0.0457,0.0415,0.0296,0.0227,0.0308,0.0326,0.0352,0.0335,22,0.04,0.9275
"Corki",0.1133,0.0723,0.0837,0.0445,0.1567,0.0539,0.0204,0.0367,0.0884,0.0228,0.0638,0.05,0.0589,0.0259,0.0117,0.0109,0.0319,0.0437,0.0425,0.0122,0.01,22,0.05,1.0542
"Darius",0.0323,0.0361,0.0603,0.0717,0.0776,0.0925,0.0968,0.0932,0.0969,0.1033,0.0855,0.0618,0.0711,0.117,0.1312,0.1069,0.0935,0.0961,0.1,0.0998,0.1071,22,0.08,1.8307
"Diana",0.0458,0.0704,0.1121,0.0837,0.0598,0.0523,0.0463,0.0366,0.0332,0.0317,0.0487,0.0393,0.033,0.0352,0.0334,0.0333,0.0377,0.0335,0.0522,0.0814,0.1102,22,0.05,1.1098
"Draven",0.0733,0.0683,0.0731,0.0621,0.0467,0.0594,0.0616,0.0687,0.1004,0.1018,0.0896,0.0793,0.079,0.0826,0.0991,0.083,0.0947,0.0898,0.0782,0.0581,0.0518,22,0.07,1.6006
"DrMundo",0.0286,0.0279,0.019,0.087,0.0626,0.0249,0.0191,0.0241,0.0155,0.0196,0.0276,0.019,0.0157,0.07,0.06,0.021,0.0159,0.0295,0.0412,0.0455,0.0256,22,0.03,0.6993
"Ekko",NA,0.1288,0.1293,0.1155,0.0952,0.1655,0.1448,0.0981,0.1083,0.1082,0.0813,0.0655,0.0752,0.0774,0.083,0.077,0.0539,0.0481,0.075,0.1644,0.1739,21,0.1,2.0684
"Elise",0.0228,0.0208,0.0999,0.1068,0.1329,0.0825,0.0952,0.1058,0.1061,0.1347,0.0839,0.0613,0.038,0.0254,0.0216,0.0398,0.0474,0.0558,0.0684,0.0786,0.1291,22,0.07,1.5568
"Evelynn",0.0201,0.0673,0.0681,0.0473,0.0516,0.0459,0.0594,0.0649,0.0661,0.0571,0.0373,0.0514,0.0626,0.0526,0.0627,0.049,0.0481,0.0544,0.0564,0.0419,0.0349,22,0.05,1.0991
"Ezreal",0.2962,0.1986,0.1812,0.184,0.4274,0.3341,0.2864,0.3548,0.3088,0.2155,0.1144,0.2293,0.2847,0.3265,0.2174,0.2492,0.276,0.295,0.2745,0.1948,0.2055,22,0.25,5.4543
"Fiddlesticks",0.0807,0.0515,0.0281,0.0223,0.0241,0.045,0.046,0.0262,0.0233,0.036,0.0301,0.0344,0.0312,0.0684,0.0838,0.0532,0.0543,0.0503,0.0439,0.0352,0.03,22,0.04,0.898
"Fiora",0.0384,0.0299,0.0725,0.1,0.1365,0.0484,0.0789,0.0778,0.1161,0.1241,0.0742,0.0708,0.0928,0.0853,0.072,0.0796,0.0662,0.0615,0.0801,0.0913,0.0821,22,0.08,1.6785
"Fizz",0.0911,0.094,0.1434,0.1064,0.1181,0.161,0.0888,0.0668,0.0642,0.1123,0.0662,0.0684,0.0621,0.077,0.0735,0.0545,0.0544,0.0558,0.0618,0.0631,0.0689,22,0.08,1.7518
