"Champion","TagDate","AnzahlSkins","AlterChampionInTagen","AnzahlPatcheInsgesamt","AnzahlPatcheVorgekommen","RelativeHaeufigkeitGesamt"
"Aatrox",15868,6,2484,130,32,0.246153846153846
"Ahri",15322,11,3030,130,37,0.284615384615385
"Akali",14740,12,3612,130,43,0.330769230769231
"Alistar",14296,13,4056,130,29,0.223076923076923
"Amumu",14420,10,3932,130,25,0.192307692307692
"Anivia",14434,8,3918,130,37,0.284615384615385
"Annie",14296,12,4056,130,29,0.223076923076923
"Aphelios",18241,1,111,9,6,0.666666666666667
"Ashe",14296,11,4056,130,39,0.3
"AurelionSol",16884,2,1468,100,22,0.22
"Azir",16328,4,2024,130,49,0.376923076923077
"Bard",16506,3,1846,126,25,0.198412698412698
"Blitzcrank",14488,11,3864,130,25,0.192307692307692
"Brand",15076,7,3276,130,30,0.230769230769231
"Braum",16201,6,2151,130,25,0.192307692307692
"Caitlyn",14978,11,3374,130,47,0.361538461538462
"Camille",17142,3,1210,83,15,0.180722891566265
"Cassiopeia",14957,5,3395,130,41,0.315384615384615
"Chogath",14420,7,3932,130,37,0.284615384615385
"Corki",14505,9,3847,130,41,0.315384615384615
"Darius",15482,8,2870,130,40,0.307692307692308
"Diana",15559,6,2793,130,29,0.223076923076923
"Draven",15496,8,2856,130,34,0.261538461538462
"DrMundo",14488,10,3864,130,31,0.238461538461538
"Ekko",16582,6,1770,121,31,0.256198347107438
"Elise",15639,5,2713,130,36,0.276923076923077
"Evelynn",14364,8,3988,130,33,0.253846153846154
"Ezreal",14684,13,3668,130,45,0.346153846153846
"Fiddlesticks",14296,9,4056,130,33,0.253846153846154
"Fiora",15399,8,2953,130,37,0.284615384615385
"Fizz",15293,9,3059,130,33,0.253846153846154
"Galio",14831,7,3521,130,35,0.269230769230769
"Gangplank",14474,9,3878,130,30,0.230769230769231
"Garen",14726,12,3626,130,38,0.292307692307692
"Gnar",16295,6,2057,130,28,0.215384615384615
"Gragas",14642,10,3710,130,39,0.3
"Graves",15266,10,3086,130,40,0.307692307692308
"Hecarim",15447,8,2905,130,30,0.230769230769231
"Heimerdinger",14526,6,3826,130,28,0.215384615384615
"Illaoi",16763,2,1589,108,36,0.333333333333333
"Irelia",14929,9,3423,130,27,0.207692307692308
"Ivern",17078,2,1274,87,27,0.310344827586207
"Janna",14488,10,3864,130,30,0.230769230769231
"JarvanIV",15034,9,3318,130,39,0.3
"Jax",14296,11,4056,130,27,0.207692307692308
"Jayce",15527,5,2825,130,33,0.253846153846154
"Jhin",16832,5,1520,104,31,0.298076923076923
"Jinx",15987,8,2365,130,35,0.269230769230769
"Kaisa",17597,5,755,53,16,0.30188679245283
"Kalista",16394,3,1958,130,30,0.230769230769231
"Karma",15006,9,3346,130,41,0.315384615384615
"Karthus",14406,6,3946,130,27,0.207692307692308
"Kassadin",14462,6,3890,130,40,0.307692307692308
"Katarina",14505,12,3847,130,35,0.269230769230769
"Kayle",14296,9,4056,130,31,0.238461538461538
"Kayn",17358,2,994,69,17,0.246376811594203
"Kennen",14707,7,3645,130,29,0.223076923076923
"Khazix",15609,5,2743,130,43,0.330769230769231
"Kindred",16721,2,1631,111,31,0.279279279279279
"Kled",17022,2,1330,91,19,0.208791208791209
"KogMaw",14784,10,3568,130,32,0.246153846153846
"Leblanc",14915,7,3437,130,43,0.330769230769231
"LeeSin",15065,11,3287,130,40,0.307692307692308
"Leona",15168,9,3184,130,30,0.230769230769231
"Lissandra",15824,4,2528,130,30,0.230769230769231
"Lucian",15938,6,2414,130,44,0.338461538461538
"Lulu",15419,8,2933,130,44,0.338461538461538
"Lux",14901,13,3451,130,46,0.353846153846154
"Malphite",14488,10,3864,130,20,0.153846153846154
"Malzahar",14761,8,3591,130,33,0.253846153846154
"Maokai",15021,8,3331,130,33,0.253846153846154
"MasterYi",14296,10,4056,130,44,0.338461538461538
"MissFortune",14860,14,3492,130,47,0.361538461538462
"MonkeyKing",15181,6,3171,130,29,0.223076923076923
"Mordekaiser",14664,6,3688,130,37,0.284615384615385
"Morgana",14296,9,4056,130,25,0.192307692307692
"Nami",15681,7,2671,130,32,0.246153846153846
"Nasus",14517,8,3835,130,24,0.184615384615385
"Nautilus",15384,5,2968,130,34,0.261538461538462
"Neeko",17870,3,482,34,15,0.441176470588235
"Nidalee",14595,10,3757,130,41,0.315384615384615
"Nocturne",15048,7,3304,130,31,0.238461538461538
"Nunu",14296,8,4056,130,33,0.253846153846154
"Olaf",14768,8,3584,130,29,0.223076923076923
"Orianna",15126,8,3226,130,29,0.223076923076923
"Ornn",17400,1,952,66,20,0.303030303030303
"Pantheon",14642,8,3710,130,31,0.238461538461538
