"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate"
"Aatrox","Original","12-Jun-2013",15868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aatrox","Justicar","12-Jun-2013",15868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aatrox","Mecha","23-Jul-2014",16274,0.0031,0.0042,0.0328,0.0269,0.4728,0.5024,-0.0011,0.0059,-0.0296
"Aatrox","Sea Hunter","22-Jul-2015",16638,0.0025,0.0019,0.0202,0.0161,0.5168,0.5132,6e-04,0.0041,0.00360000000000005
"Aatrox","Blood Moon","10-Jan-2019",17906,0.323,0.3641,0.1214,0.1304,0.4878,0.4874,-0.0411,-0.00899999999999999,0.000400000000000011
"Aatrox","Prestige Blood Moon","10-Jan-2019",17906,0.323,0.3641,0.1214,0.1304,0.4878,0.4874,-0.0411,-0.00899999999999999,0.000400000000000011
"Aatrox","Victorious","21-Nov-2019",18221,0.0731,0.0934,0.1057,0.0676,0.4645,0.4723,-0.0203,0.0381,-0.00779999999999997
"Ahri","Original","14-Dec-2011",15322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahri","Dynasty","14-Dec-2011",15322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahri","Midnight","14-Dec-2011",15322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahri","Foxfire","11-Jul-2012",15532,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahri","Popstar","25-Nov-2013",16034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahri","Academy","26-Aug-2015",16673,0.0264,0.0368,0.1684,0.1637,0.5382,0.5447,-0.0104,0.00469999999999998,-0.00649999999999995
"Ahri","Arcade","24-Aug-2016",17037,0.0138,0.0083,0.1416,0.1192,0.53,0.5279,0.0055,0.0224,0.00209999999999999
"Ahri","Star Guardian","06-Sep-2017",17415,0.0528,0.0655,0.1193,0.1219,0.5063,0.5202,-0.0127,-0.00259999999999999,-0.0139
"Ahri","KDA","03-Nov-2018",17838,0.0545,0.0654,0.1051,0.1303,0.5332,0.5297,-0.0109,-0.0252,0.00350000000000006
"Ahri","Elderwood","29-Aug-2019",18137,0.0562,0.0576,0.1017,0.094,0.523,0.5253,-0.0014,0.0077,-0.00229999999999997
"Ahri","Challenger","15-Jan-2015",16450,0.2228,0.0207,0.2321,0.1222,0.5571,0.5125,0.2021,0.1099,0.0446000000000001
"Ahri","Prestige KDA","07-Mar-2019",17962,0.0483,0.0401,0.1107,0.0929,0.5222,0.5236,0.00820000000000001,0.0178,-0.00139999999999996
"Akali","Original","11-May-2010",14740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akali","Nurse","04-Jan-2011",14978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akali","Blood Moon","07-Jun-2011",15132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akali","Silverfang","29-Nov-2011",15307,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akali","Headhunter","23-Mar-2015",16517,0.0044,0.0302,0.0161,0.0172,0.4983,0.4741,-0.0258,-0.0011,0.0242
"Akali","Sashimi","07-Sep-2016",17051,0.0104,0.0127,0.0353,0.0384,0.5171,0.5187,-0.0023,-0.0031,-0.00160000000000005
"Akali","KDA","03-Nov-2018",17838,0.7039,0.6381,0.0893,0.0764,0.4639,0.4759,0.0658,0.0129,-0.012
"Akali","PROJECT","01-Aug-2019",18109,0.264,0.1152,0.1652,0.0768,0.4802,0.4422,0.1488,0.0884,0.038
"Akali","True Damage","10-Nov-2019",18210,0.2867,0.2061,0.1594,0.1097,0.4675,0.4548,0.0806,0.0497,0.0127
"Akali","Stinger","11-May-2010",14740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akali","Infernal","11-May-2010",14740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akali","All-star","24-Jun-2010",14784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akali","Prestige KDA","06-Dec-2018",17871,0.5159,0.7161,0.0851,0.0858,0.4518,0.4761,-0.2002,-0.000700000000000006,-0.0243
"Alistar","Original","21-Feb-2009",14296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistar","Golden","13-Jan-2010",14622,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistar","Infernal","13-Jul-2012",15534,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alistar","Marauder","30-Sep-2015",16708,0.005,0.0174,0.1512,0.1576,0.4908,0.4881,-0.0124,-0.00639999999999999,0.00270000000000004
"Alistar","Moo Cow","29-Mar-2017",17254,0.0028,0.0026,0.0543,0.0482,0.5107,0.4928,2e-04,0.0061,0.0179
"Alistar","Blackfrost","05-Mar-2020",18326,0.0049,0.0033,0.0413,0.0315,0.4995,0.4831,0.0016,0.0098,0.0164
