"Champion","2015-1","2015-2","2015-3","2015-4","2016-1","2016-2","2016-3","2016-4","2017-1","2017-2","2017-3","2017-4","2018-1","2018-2","2018-3","2018-4","2019-1","2019-2","2019-3","2019-4","2020-1","NumberOfQuartalsPresent","Mean","Sum"
"Aatrox",0.4866,0.5021,0.5165,0.5229,0.5256,0.5098,0.5218,0.5561,0.5262,0.5559,0.5099,0.4969,0.5099,0.5104,0.4931,0.4888,0.4698,0.486,0.4818,0.4691,0.4713,22,0.48,10.6105
"Ahri",0.5319,0.5301,0.541,0.5358,0.5359,0.5297,0.5296,0.5418,0.5379,0.5421,0.5143,0.5032,0.5062,0.5049,0.5211,0.5273,0.524,0.5291,0.5248,0.5224,0.5155,22,0.5,11.0486
"Akali",0.4916,0.5064,0.498,0.4952,0.5038,0.5149,0.5164,0.5154,0.5256,0.5413,0.5064,0.5065,0.4978,0.4987,0.4852,0.4665,0.4521,0.4513,0.4609,0.4599,0.4556,22,0.47,10.3495
"Alistar",0.4658,0.4862,0.4894,0.4974,0.5075,0.4898,0.4868,0.4924,0.4905,0.52,0.5015,0.5066,0.5061,0.4987,0.5116,0.4945,0.4722,0.4705,0.47,0.4739,0.4931,22,0.47,10.3245
"Amumu",0.4963,0.5213,0.5256,0.5263,0.5268,0.5241,0.5239,0.5244,0.5117,0.5307,0.5129,0.4961,0.4902,0.4909,0.4927,0.5069,0.4954,0.5194,0.5102,0.5027,0.4857,22,0.49,10.7142
"Anivia",0.5225,0.5256,0.5281,0.5314,0.5209,0.5313,0.5391,0.5531,0.5624,0.559,0.5346,0.5207,0.5174,0.51,0.5129,0.5174,0.5149,0.5154,0.5106,0.5052,0.5082,22,0.5,11.0407
"Annie",0.5242,0.5183,0.5221,0.5134,0.5122,0.5205,0.5256,0.5454,0.5388,0.5475,0.5177,0.5046,0.4911,0.4997,0.5052,0.5179,0.5157,0.5133,0.4978,0.5025,0.5097,22,0.49,10.8432
"Aphelios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4926,0.4884,3,0.33,0.981
"Ashe",0.526,0.5274,0.5195,0.5099,0.523,0.5336,0.5295,0.5046,0.4901,0.5026,0.4905,0.4801,0.4856,0.4976,0.4905,0.5083,0.5165,0.5169,0.5122,0.5262,0.5073,22,0.49,10.6979
"AurelionSol",NA,NA,NA,NA,NA,0.5341,0.5511,0.5553,0.5789,0.5682,0.5398,0.5219,0.5373,0.5476,0.5431,0.5164,0.5117,0.5215,0.5048,0.536,0.5263,17,0.51,8.594
"Azir",0.453,0.4683,0.4543,0.4478,0.4693,0.4853,0.4414,0.4779,0.466,0.4743,0.46,0.5034,0.4708,0.451,0.4557,0.454,0.4584,0.4728,0.4564,0.4484,0.4626,22,0.44,9.7311
"Bard",0.388,0.4686,0.4834,0.4893,0.4864,0.4932,0.4914,0.4969,0.4744,0.5201,0.4945,0.4926,0.5092,0.5094,0.5085,0.511,0.5082,0.5113,0.5156,0.5162,0.5245,22,0.47,10.3927
