"Champion","2015-1","2015-2","2015-3","2015-4","2016-1","2016-2","2016-3","2016-4","2017-1","2017-2","2017-3","2017-4","2018-1","2018-2","2018-3","2018-4","2019-1","2019-2","2019-3","2019-4","2020-1","NumberOfQuartalsPresent","Mean","Sum"
"Aatrox",1,1,0,0,0,0,0,0,2,1,5,2,1,1,3,2,3,2,3,0,0,22,1.23,27
"Ahri",3,1,2,0,1,3,3,0,2,4,3,2,1,4,1,1,0,0,1,0,0,22,1.45,32
"Akali",1,2,0,0,1,2,0,3,1,1,1,1,3,0,3,4,2,3,3,2,1,22,1.55,34
"Alistar",1,0,1,1,2,2,0,1,1,2,1,1,3,1,0,3,2,0,1,1,2,22,1.18,26
"Amumu",1,0,1,0,0,1,0,0,1,3,1,2,2,1,1,1,0,3,0,1,2,22,0.95,21
"Anivia",0,1,1,2,0,3,1,2,5,1,1,1,2,2,0,1,3,0,0,0,2,22,1.27,28
"Annie",2,1,0,1,0,4,4,0,0,1,1,1,2,1,1,0,1,0,2,0,1,22,1.05,23
"Aphelios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,2,6
"Ashe",0,3,0,3,1,0,2,2,1,1,1,2,3,1,0,1,2,2,1,3,1,22,1.36,30
"AurelionSol",NA,NA,NA,NA,1,3,2,0,0,2,1,2,1,2,0,1,1,0,3,1,2,18,1.22,22
"Azir",5,0,4,4,2,1,2,1,2,2,3,5,2,2,0,1,1,1,2,0,3,22,1.95,43
"Bard",2,2,2,1,1,2,1,1,2,2,1,2,0,2,1,0,0,0,2,0,1,22,1.14,25
"Blitzcrank",0,2,1,1,0,2,0,0,2,0,0,2,1,1,0,0,0,1,2,2,2,22,0.86,19
"Brand",0,1,0,3,2,1,0,1,1,1,2,2,3,1,0,0,3,2,0,0,1,22,1.09,24
"Braum",0,1,2,0,0,0,3,1,1,1,1,2,2,1,1,0,1,1,0,1,2,22,0.95,21
"Caitlyn",0,2,1,4,2,1,1,0,1,3,4,3,2,4,0,1,2,3,2,1,2,22,1.77,39
"Camille",NA,NA,NA,NA,NA,NA,NA,1,4,2,0,2,0,1,0,1,1,1,2,0,0,15,1,15
"Cassiopeia",3,1,1,0,1,3,1,1,2,2,4,2,3,2,1,1,2,1,1,0,1,22,1.5,33
"Chogath",0,0,0,1,2,2,0,1,3,3,4,4,4,2,0,0,1,2,0,1,1,22,1.41,31
"Corki",1,0,1,2,1,3,3,0,2,2,1,3,2,1,1,1,1,1,2,0,2,22,1.36,30
"Darius",0,1,4,2,0,2,2,1,2,2,1,2,3,2,3,0,1,1,1,2,4,22,1.64,36
