Champion,Patch
Aatrox,9.9
Aatrox,9.6
Aatrox,9.3
Aatrox,9.2
Aatrox,9.19
Aatrox,9.18
Aatrox,9.14
Aatrox,9.12
Aatrox,8.3
Aatrox,8.24
Aatrox,8.23
Aatrox,8.18
Aatrox,8.16
Aatrox,8.14
Aatrox,8.13
Aatrox,7.8
Aatrox,7.6
Aatrox,7.5
Aatrox,7.24b
Aatrox,7.22
Aatrox,7.19
Aatrox,7.18
Aatrox,7.16
Aatrox,7.15
Aatrox,7.14
Aatrox,5.6
Aatrox,5.11
Aatrox,4.6
Aatrox,4.5
Aatrox,4.20
Aatrox,3.8
Aatrox,3.13
Ahri,9.14
Ahri,8.9
Ahri,8.8
Ahri,8.7
Ahri,8.3
Ahri,8.20
Ahri,8.14
Ahri,8.10
Ahri,7.9
Ahri,7.6
Ahri,7.23
Ahri,7.22
Ahri,7.2
Ahri,7.19
Ahri,7.18
Ahri,7.15
Ahri,7.12
Ahri,7.11
Ahri,7.10
Ahri,6.7
Ahri,6.4
Ahri,6.18
Ahri,6.17
Ahri,6.16
Ahri,6.11
Ahri,6.10
Ahri,5.8
Ahri,5.3
Ahri,5.2
Ahri,5.16
Ahri,5.14
Ahri,5.1
Ahri,4.5
Ahri,4.17
Ahri,4.12
Ahri,3.15
Ahri,3.13
Akali,9.9
Akali,9.7
Akali,9.5
Akali,9.3
Akali,9.24
Akali,9.23
Akali,9.19
Akali,9.18
Akali,9.14
Akali,9.11
Akali,8.4
Akali,8.3
Akali,8.24b
Akali,8.24
Akali,8.23
Akali,8.22
Akali,8.2
Akali,8.18
Akali,8.17
Akali,8.15
Akali,7.22
Akali,7.2
Akali,7.15
Akali,7.12
Akali,6.8
Akali,6.7
Akali,6.3
Akali,6.24
Akali,6.23
Akali,6.22
Akali,5.9
Akali,5.2
Akali,5.10
Akali,4.5
Akali,4.2
Akali,4.18
Akali,4.17
Akali,4.16
Akali,3.7
Akali,3.5
Akali,3.02
Akali,10.7
Akali,10.3
Alistar,9.6
Alistar,9.24b
Alistar,9.14
Alistar,9.1
Alistar,8.7
Alistar,8.5
Alistar,8.3
Alistar,8.24b
Alistar,8.24
Alistar,8.21
Alistar,8.2
Alistar,7.7
Alistar,7.6
Alistar,7.22
Alistar,7.14
Alistar,7.13
Alistar,6.7
