Champion,Name,Erscheinungsdatum
Aatrox,Original,12-Jun-2013
Aatrox,Justicar,12-Jun-2013
Aatrox,Mecha,23-Jul-2014
Aatrox,Sea Hunter,22-Jul-2015
Aatrox,Blood Moon,10-Jan-2019
Aatrox,Prestige Blood Moon,10-Jan-2019
Aatrox,Victorious,21-Nov-2019
Ahri,Original,14-Dec-2011
Ahri,Dynasty,14-Dec-2011
Ahri,Midnight,14-Dec-2011
Ahri,Foxfire,11-Jul-2012
Ahri,Popstar,25-Nov-2013
Ahri,Academy,26-Aug-2015
Ahri,Arcade,24-Aug-2016
Ahri,Star Guardian,06-Sep-2017
Ahri,KDA,03-Nov-2018
Ahri,Elderwood,29-Aug-2019
Ahri,Challenger,15-Jan-2015
Ahri,Prestige KDA,07-Mar-2019
Akali,Original,11-May-2010
Akali,Nurse,04-Jan-2011
Akali,Blood Moon,07-Jun-2011
Akali,Silverfang,29-Nov-2011
Akali,Headhunter,23-Mar-2015
Akali,Sashimi,07-Sep-2016
Akali,KDA,03-Nov-2018
Akali,PROJECT,01-Aug-2019
Akali,True Damage,10-Nov-2019
Akali,Stinger,11-May-2010
Akali,Infernal,11-May-2010
Akali,All-star,24-Jun-2010
Akali,Prestige KDA,06-Dec-2018
Alistar,Original,21-Feb-2009
Alistar,Golden,13-Jan-2010
Alistar,Infernal,13-Jul-2012
Alistar,Marauder,30-Sep-2015
Alistar,Moo Cow,29-Mar-2017
Alistar,Blackfrost,05-Mar-2020
Alistar,Matador,11-May-2010
Alistar,Longhorn,16-Feb-2011
Alistar,Sweeper,18-Jun-2014
Alistar,SKT T1,17-Aug-2016
Alistar,Conqueror,30-Apr-2019
Alistar,Black,13-Jun-2009
Alistar,Unchained,22-Sep-2011
Alistar,Hextech,26-Mar-2018
Amumu,Original,25-Jun-2009
Amumu,Emumu,01-Aug-2010
Amumu,Little Knight,18-Jul-2011
Amumu,Sad Robot,28-May-2012
Amumu,Surprise Party,31-Mar-2015
Amumu,Infernal,16-Oct-2018
Amumu,Pharaoh,02-Feb-2010
Amumu,Vancouver,12-Feb-2010
Amumu,Re-Gifted,14-Dec-2010
Amumu,Almost-Prom King,07-Feb-2011
Amumu,Hextech,26-Sep-2019
Amumu,Sewn Chaos,???
Anivia,Original,09-Jul-2009
Anivia,Bird of Prey,02-May-2010
Anivia,Blackfrost,29-Apr-2013
Anivia,Prehistoric,14-Jun-2015
Anivia,Festival Queen,23-Feb-2017
Anivia,Papercraft,21-Feb-2019
Anivia,Team Spirit,12-Feb-2010
Anivia,Noxus Hunter,24-Aug-2010
Anivia,Hextech,01-Mar-2011
Annie,Original,21-Feb-2009
Annie,Frostfire,24-May-2011
Annie,Reverse,06-Sep-2011
Annie,Panda,08-Feb-2013
Annie,Super Galaxy,16-Oct-2017
Annie,Red Riding,27-Apr-2010
Annie,Annie in Wonderland,16-Aug-2010
Annie,Prom Queen,07-Feb-2011
Annie,FrankenTibbers,19-Oct-2011
Annie,Sweetheart,13-Feb-2015
Annie,Goth,27-Oct-2009
Annie,Hextech,15-Mar-2016
Annie,Annie-Versary,27-Oct-2019
Aphelios,Original,11-Dec-2019
Aphelios,Nightbringer,11-Dec-2019
Ashe,Original,21-Feb-2009
Ashe,Sherwood Forest,08-Apr-2010
Ashe,Woad,18-Jul-2010
Ashe,Amethyst,15-Nov-2011
Ashe,Marauder,17-Feb-2015
Ashe,PROJECT,01-Aug-2016
Ashe,Cosmic Queen,21-Aug-2018
Ashe,High Noon,10-Oct-2019
Ashe,Freljord,20-Nov-2009
Ashe,Queen,21-Sep-2010
Ashe,Heartseeker,14-Feb-2014
Ashe,Championship,12-Sep-2017
AurelionSol,Original,24-Mar-2016
AurelionSol,Ashen Lord,24-Mar-2016
AurelionSol,Mecha,16-Aug-2018
Azir,Original,15-Sep-2014
Azir,Galactic,15-Sep-2014
Azir,Gravelord,01-Dec-2015
Azir,SKT T1,17-Aug-2016
Azir,Warring Kingdoms,19-Jan-2017
Bard,Original,12-Mar-2015
Bard,Elderwood,12-Mar-2015
Bard,Snow Day,10-Dec-2015
Bard,Bard Bard,17-Nov-2016
Blitzcrank,Original,01-Sep-2009
Blitzcrank,Boom Boom,29-Aug-2010
Blitzcrank,Piltover Customs,07-Mar-2011
Blitzcrank,iBlitzcrank,01-Mar-2013
Blitzcrank,Battle Boss,19-Aug-2015
Blitzcrank,Lancer Rogue,16-Nov-2017
Blitzcrank,Lancer Paragon,16-Nov-2017
Blitzcrank,Goalkeeper,24-Jun-2010
Blitzcrank,Definitely Not,19-Oct-2011
Blitzcrank,Riot,21-Oct-2013
Blitzcrank,Witch's Brew,24-Oct-2019
Blitzcrank,Rusty,20-Nov-2009
Blitzcrank,Sewn Chaos,???
Brand,Original,12-Apr-2011
Brand,Apocalyptic,12-Apr-2011
Brand,Cryocore,05-Oct-2011
Brand,Spirit Fire,21-Oct-2015
Brand,Battle Boss,08-Aug-2017
Brand,Arclight,07-Mar-2019
Brand,Vandal,12-Apr-2011
Brand,Zombie,26-Oct-2012
Braum,Original,11-May-2014
Braum,Dragonslayer,11-May-2014
Braum,El Tigre,21-Jan-2015
Braum,Braum Lionheart,07-Dec-2015
Braum,Mafia,23-Aug-2018
Braum,Sugar Rush,17-Dec-2019
Braum,Santa,14-Dec-2016
Caitlyn,Original,04-Jan-2011
Caitlyn,Resistance,04-Jan-2011
Caitlyn,Arctic Warfare,29-Dec-2011
Caitlyn,Officer,05-Oct-2011
Caitlyn,Headhunter,03-Sep-2014
Caitlyn,Pulsefire,24-May-2017
Caitlyn,Pool Party,02-Aug-2018
Caitlyn,Arcade,28-Jun-2019
Caitlyn,Sheriff,04-Jan-2011
Caitlyn,Safari,10-May-2011
Caitlyn,Lunar Wraith,27-Jan-2016
Caitlyn,Prestige Arcade,28-Jun-2019
Camille,Original,07-Dec-2016
Camille,Program,12-Dec-2016
Camille,Coven,27-Nov-2018
Camille,iG,23-Apr-2019
Cassiopeia,Original,14-Dec-2010
Cassiopeia,Desperada,14-Dec-2010
Cassiopeia,Siren,14-Dec-2010
Cassiopeia,Mythic,18-Jul-2012
Cassiopeia,Jade Fang,08-Feb-2013
Cassiopeia,Eternum,20-Sep-2017
Chogath,Original,25-Jun-2009
Chogath,Gentleman,11-May-2010
Chogath,Jurassic,01-Nov-2011
Chogath,Battlecast Prime,03-Aug-2012
Chogath,Prehistoric,14-Jun-2015
Chogath,Nightmare,20-Nov-2009
Chogath,Loch Ness,01-Mar-2011
Chogath,Dark Star,13-Jul-2018
Corki,Original,18-Sep-2009
Corki,Urfrider,04-Apr-2011
Corki,Dragonwing,08-Feb-2013
Corki,Arcade,24-Aug-2016
Corki,Corgi,27-Mar-2019
Corki,Ice Toboggan,12-Feb-2010
Corki,Red Baron,24-Mar-2010
Corki,Hot Rod,27-Jul-2010
Corki,Fnatic,24-Sep-2014
Corki,UFO,01-Jan-2010
Darius,Original,22-May-2012
Darius,Lord,22-May-2012
Darius,Bioforge,13-Nov-2012
Darius,Woad King,16-Jun-2013
Darius,Dunkmaster,12-Oct-2014
Darius,Academy,26-Aug-2015
Darius,God-King,27-Jun-2018
Darius,High Noon,10-Oct-2019
Darius,Dreadnova,12-Apr-2017
Diana,Original,07-Aug-2012
Diana,Dark Valkyrie,07-Aug-2012
Diana,Lunar Goddess,28-Jan-2014
Diana,Infernal,20-Apr-2016
Diana,Blood Moon,09-Feb-2017
Diana,Dark Waters,31-May-2018
Diana,Dragonslayer,30-Jan-2020
Draven,Original,05-Jun-2012
Draven,Soul Reaver,05-Jun-2012
Draven,Gladiator,25-Mar-2013
Draven,Primetime,20-Jun-2014
Draven,Pool Party,25-Jun-2015
Draven,Beast Hunter,04-Feb-2016
Draven,Mecha Kingdoms,15-Jan-2020
Draven,Draven Draven,31-Mar-2016
Draven,Santa,12-Dec-2017
DrMundo,Original,01-Sep-2009
DrMundo,Corporate Mundo,12-Sep-2010
DrMundo,Rageborn Mundo,27-Jul-2012
DrMundo,Pool Party Mundo,25-Jun-2015
DrMundo,El Macho Mundo,01-Jun-2016
DrMundo,Toxic,17-Dec-2009
DrMundo,Mr. Mundoverse,24-Mar-2010
DrMundo,Mundo Mundo,19-Oct-2010
DrMundo,Executioner Mundo,17-Jun-2011
DrMundo,TPA Mundo,23-May-2013
DrMundo,Frozen Prince Mundo,06-Dec-2018
Ekko,Original,27-May-2015
Ekko,Sandstorm,27-May-2015
Ekko,Academy,26-Aug-2015
Ekko,PROJECT,01-Aug-2016
Ekko,True Damage,10-Nov-2019
Ekko,SKT T1,27-Jun-2017
Ekko,Trick or Treat,24-Oct-2018
Elise,Original,26-Oct-2012
Elise,Death Blossom,26-Oct-2012
Elise,Blood Moon,08-Jan-2015
Elise,Super Galaxy,16-Oct-2017
Elise,SKT T1,17-Aug-2016
Elise,Victorious,20-Dec-2013
Evelynn,Original,30-Apr-2009
Evelynn,Shadow,20-Nov-2009
Evelynn,Tango,05-Oct-2010
Evelynn,Safecracker,28-Nov-2014
Evelynn,Blood Moon,08-May-2018
Evelynn,KDA,03-Nov-2018
Evelynn,Sugar Rush,17-Dec-2019
Evelynn,Masquerade,17-May-2010
Evelynn,Prestige KDA,18-Apr-2019
Ezreal,Original,16-Mar-2010
Ezreal,Frosted,18-Jul-2010
Ezreal,Pulsefire,29-Jun-2012
Ezreal,Debonair,05-Aug-2014
Ezreal,Ace of Spades,20-May-2015
Ezreal,Arcade,24-Aug-2016
Ezreal,Star Guardian,06-Sep-2017
Ezreal,Pajama Guardian,21-Nov-2018
Ezreal,Battle Academia,15-May-2019
Ezreal,Nottingham,16-Mar-2010
Ezreal,Striker,24-Jun-2010
Ezreal,Explorer,13-Oct-2010
Ezreal,TPA,23-May-2013
Ezreal,SSG,20-Jul-2018
Fiddlesticks,Original,21-Feb-2009
Fiddlesticks,Spectral,16-Mar-2010
Fiddlesticks,Bandito,10-Aug-2010
Fiddlesticks,Surprise Party,27-Oct-2011
Fiddlesticks,Risen,29-Apr-2015
Fiddlesticks,Praetorian,08-Nov-2018
Fiddlesticks,Union Jack,12-Feb-2010
Fiddlesticks,Pumpkinhead,19-Oct-2010
Fiddlesticks,Fiddle Me Timbers,26-Apr-2010
Fiddlesticks,Dark Candy,14-Dec-2012
Fiora,Original,29-Feb-2012
Fiora,Royal Guard,29-Feb-2012
Fiora,Nightraven,29-Feb-2012
Fiora,PROJECT,07-Sep-2015
Fiora,Pool Party,13-Jul-2016
Fiora,Soaring Sword,27-Sep-2017
Fiora,Headmistress,26-Oct-2012
Fiora,Heartpiercer,11-Feb-2019
Fiora,iG,23-Apr-2019
Fizz,Original,15-Nov-2011
Fizz,Atlantean,15-Nov-2011
Fizz,Tundra,15-Nov-2011
Fizz,Fisherman,01-Apr-2012
Fizz,Void,06-Apr-2014
Fizz,Cottontail,09-Aug-2015
Fizz,Super Galaxy,25-May-2016
Fizz,Omega Squad,26-Jul-2017
Fizz,Fuzz,27-Mar-2019
Fizz,Prestige Fuzz,27-Mar-2019
Galio,Original,10-Aug-2010
Galio,Enchanted,10-Aug-2010
Galio,Commando,18-Jan-2011
Galio,Gatekeeper,23-Apr-2012
Galio,Debonair,13-Apr-2015
Galio,Birdio,29-Mar-2018
Galio,Infernal,05-Sep-2019
Galio,Hextech,10-Aug-2010
Gangplank,Original,18-Aug-2009
Gangplank,Spooky,16-Mar-2010
Gangplank,Minuteman,03-Jul-2010
Gangplank,Special Forces,12-Sep-2012
Gangplank,Sultan,13-Nov-2013
Gangplank,Captain,09-Aug-2015
Gangplank,Dreadnova,12-Jan-2017
Gangplank,Pool Party,02-Aug-2018
Gangplank,Sailor,10-Jan-2011
Gangplank,Toy Soldier,14-Dec-2011
Garen,Original,27-Apr-2010
Garen,Commando,08-Sep-2010
Garen,Dreadknight,18-Jan-2011
Garen,Rugged,15-Aug-2011
Garen,Steel Legion,01-Feb-2013
Garen,Rogue Admiral,22-Jul-2015
Garen,God-King,27-Jun-2018
Garen,Demacia Vice,18-Jul-2019
Garen,Mecha Kingdoms,15-Jan-2020
Garen,Sanguine,27-Apr-2010
Garen,Desert Trooper,27-Apr-2010
Garen,Warring Kingdoms,19-Jan-2017
Garen,Prestige Mecha Kingdoms,15-Jan-2020
Gnar,Original,13-Aug-2014
Gnar,Dino,13-Aug-2014
Gnar,Gentleman,14-Jul-2015
Gnar,El León,01-Jun-2016
Gnar,Super Galaxy,16-Oct-2017
Gnar,Snow Day,10-Dec-2015
Gnar,SSG,20-Jul-2018
Gragas,Original,02-Feb-2010
Gragas,Hillbilly,01-Aug-2010
Gragas,"Gragas, Esq.",12-Apr-2011
Gragas,Oktoberfest,21-Sep-2012
Gragas,Gragas Caskbreaker,07-Dec-2015
Gragas,Arctic Ops,25-Jan-2018
Gragas,Scuba,03-May-2010
Gragas,Santa,14-Dec-2010
Gragas,Vandal,02-Mar-2012
Gragas,Superfan,18-Jun-2014
Gragas,Fnatic,24-Sep-2014
Graves,Original,19-Oct-2011
Graves,Hired Gun,19-Oct-2011
Graves,Mafia,02-Apr-2012
Graves,Pool Party,09-Sep-2013
Graves,Cutthroat,21-Jul-2015
Graves,Praetorian,08-Nov-2018
Graves,Battle Professor,15-May-2019
Graves,Jailbreak,19-Oct-2011
Graves,Riot,16-Aug-2012
Graves,Snow Day,14-Dec-2016
Graves,Victorious,08-Nov-2017
Hecarim,Original,17-Apr-2012
Hecarim,Reaper,17-Apr-2012
Hecarim,Arcade,21-Aug-2013
Hecarim,Elderwood,25-Nov-2015
Hecarim,Worldbreaker,10-Nov-2016
Hecarim,High Noon,10-Oct-2019
Hecarim,Blood Knight,17-Apr-2012
Hecarim,Headless,26-Oct-2012
Hecarim,Lancer Zero,16-Aug-2017
Heimerdinger,Original,09-Oct-2009
Heimerdinger,Blast Zone,24-Jun-2010
Heimerdinger,Piltover Customs,22-Nov-2010
Heimerdinger,Hazmat,13-Jul-2014
Heimerdinger,Dragon Trainer,11-Oct-2018
Heimerdinger,Alien Invader,13-Jul-2010
Heimerdinger,Snowmerdinger,14-Dec-2011
Illaoi,Original,24-Nov-2015
Illaoi,Void Bringer,24-Nov-2015
Illaoi,Resistance,15-Mar-2018
Irelia,Original,16-Nov-2010
Irelia,Nightblade,16-Nov-2010
Irelia,Aviator,16-Nov-2010
Irelia,Frostblade,30-Apr-2012
Irelia,Order of the Lotus,03-Jun-2015
Irelia,Divine Sword,04-Sep-2018
Irelia,PROJECT,01-Aug-2019
Irelia,Infiltrator,11-Oct-2011
Irelia,iG,23-Apr-2019
Irelia,Prestige PROJECT,01-Aug-2019
Ivern,Original,04-Oct-2016
Ivern,Candy King,04-Oct-2016
Ivern,Dunkmaster,04-Apr-2019
Janna,Original,01-Sep-2009
Janna,Frost Queen,05-Dec-2011
Janna,Forecast,04-Sep-2013
Janna,Star Guardian,05-Oct-2016
Janna,Sacred Sword,27-Sep-2017
Janna,Guardian of the Sands,22-Jan-2020
Janna,Tempest,13-Jul-2010
Janna,Hextech,08-Nov-2010
Janna,Fnatic,24-Sep-2014
Janna,Bewitching,24-Oct-2018
Janna,Victorious,06-Nov-2012
JarvanIV,Original,01-Mar-2011
JarvanIV,Commando,01-Mar-2011
JarvanIV,Dragonslayer,01-Mar-2011
JarvanIV,Darkforge,26-Jul-2011
JarvanIV,Warring Kingdoms,08-Feb-2013
JarvanIV,Dark Star,01-Mar-2018
JarvanIV,Fnatic,24-Sep-2014
JarvanIV,SSG,20-Jul-2018
JarvanIV,Victorious,14-Sep-2011
JarvanIV,Hextech,04-Apr-2019
Jax,Original,21-Feb-2009
Jax,Jaximus,10-May-2011
Jax,Temple,15-Nov-2011
Jax,Nemesis,14-Sep-2012
Jax,Warden,30-Sep-2015
Jax,God Staff,11-Jan-2018
Jax,Mecha Kingdoms,15-Jan-2020
Jax,The Mighty,12-Feb-2010
Jax,Vandal,24-Feb-2010
Jax,Angler,08-Jun-2010
Jax,SKT T1,04-May-2014
Jax,PAX,26-Mar-2010
Jayce,Original,06-Jul-2012
Jayce,Full Metal,06-Jul-2012
Jayce,Debonair,14-Feb-2013
Jayce,Forsaken,03-May-2015
Jayce,Jayce Brighthammer,17-Nov-2016
Jayce,Battle Academia,15-May-2019
Jhin,Original,01-Feb-2016
Jhin,High Noon,01-Feb-2016
Jhin,Blood Moon,09-Feb-2017
Jhin,PROJECT,22-Nov-2017
Jhin,Dark Cosmic,13-Jun-2019
Jhin,SKT T1,27-Jun-2017
Jinx,Original,09-Oct-2013
Jinx,Mafia,09-Oct-2013
Jinx,Firecracker,10-Feb-2015
Jinx,Star Guardian,05-Oct-2016
Jinx,Odyssey,12-Sep-2018
Jinx,PROJECT,01-Aug-2019
Jinx,Zombie Slayer,05-Nov-2015
Jinx,Ambitious Elf,12-Dec-2017
Jinx,Heartseeker,04-Feb-2020
Kaisa,Original,07-Mar-2018
Kaisa,Bullet Angel,07-Mar-2018
Kaisa,KDA,03-Nov-2018
Kaisa,Arcade,28-Jun-2019
Kaisa,iG,23-Apr-2019
Kaisa,Prestige KDA,03-Nov-2018
Kalista,Original,20-Nov-2014
Kalista,Blood Moon,20-Nov-2014
Kalista,Championship,27-Sep-2015
Kalista,SKT T1,17-Aug-2016
Karma,Original,01-Feb-2011
Karma,Sakura,01-Feb-2011
Karma,Order of the Lotus,01-Oct-2014
Karma,Warden,30-Sep-2015
Karma,Dark Star,13-Jun-2019
Karma,Sun Goddess,01-Feb-2011
Karma,Traditional,29-Mar-2013
Karma,Winter Wonder,14-Dec-2016
Karma,Conqueror,23-Apr-2017
Karma,Dawnbringer,12-Dec-2019
Karthus,Original,11-Jun-2009
Karthus,Statue of Karthus,03-Jul-2010
Karthus,Grim Reaper,26-Sep-2010
Karthus,Pentakill,29-Aug-2011
Karthus,Karthus Lightsbane,17-Nov-2016
Karthus,Phantom,13-Jan-2010
Karthus,Fnatic,24-Sep-2014
Kassadin,Original,06-Aug-2009
Kassadin,Pre-Void,26-Sep-2010
Kassadin,Harbinger,13-Jul-2011
Kassadin,Cosmic Reaver,14-Oct-2015
Kassadin,Festival,12-Feb-2010
Kassadin,Deep One,01-Aug-2010
Kassadin,Count,24-Oct-2019
Katarina,Original,18-Sep-2009
Katarina,Mercenary,20-Nov-2009
Katarina,High Command,22-Feb-2011
Katarina,Sandstorm,02-Jan-2012
Katarina,Warring Kingdoms,10-Feb-2015
Katarina,PROJECT,01-Aug-2016
Katarina,Battle Academia,15-May-2019
Katarina,Blood Moon,20-Feb-2020
Katarina,Red Card,24-Jun-2010
Katarina,Bilgewater,29-Aug-2010
Katarina,Kitty Cat,19-Oct-2010
Katarina,Slay Belle,14-Dec-2012
Katarina,Death Sworn,25-Oct-2017
Kayle,Original,21-Feb-2009
Kayle,Viridian,01-Jun-2010
Kayle,Battleborn,18-Apr-2011
Kayle,Aether Wing,18-Jan-2013
Kayle,Iron Inquisitor,04-May-2016
Kayle,Pentakill,08-Aug-2017
Kayle,Transcended,13-Jul-2010
Kayle,Riot,12-Aug-2014
Kayle,Silver,13-Nov-2009
Kayle,Judgment,22-Aug-2011
Kayn,Original,11-Jul-2017
Kayn,Soulhunter,11-Jul-2017
Kayn,Odyssey,12-Sep-2018
Kennen,Original,08-Apr-2010
Kennen,Karate,08-Nov-2010
Kennen,Kennen M.D.,29-Mar-2011
Kennen,Arctic Ops,29-Dec-2011
