PatchNummer,Tag
5.1,20150115
5.2,20150128
5.3,20150211
5.4,20150225
5.5,20150312
5.6,20150325
5.7,20150408
5.8,20150428
5.9,20150514
5.10,20150528
5.11,20150610
5.12,20150624
5.13,20150708
5.14,20150722
5.15,20150805
5.16,20150820
5.17,20150902
5.18,20150916
5.19,20150930
5.20,20151014
5.21,20151029
5.22,20151111
5.23,20151124
5.24,20151209
6.1,20160114
6.2,20160128
6.3,20160210
6.4,20160224
6.5,20160309
6.6,20160323
6.7,20160406
6.8,20160420
6.9,20160504
6.10,20160518
6.11,20160601
6.12,20160615
6.13,20160629
6.14,20160713
6.15,20160726
6.16,20160810
6.17,20160824
6.18,20160908
6.19,20160921
6.20,20161005
6.21,20161019
6.22,20161110
6.23,20161122
6.24,20161207
7.1,20170111
7.2,20170125
7.3,20170208
7.4,20170223
7.5,20170308
7.6,20170322
7.7,20170405
7.8,20170419
7.9,20170503
7.10,20170517
7.11,20170601
7.12,20170614
7.13,20170628
7.14,20170712
7.15,20170726
7.16,20170809
7.17,20170823
7.18,20170913
7.19,20170927
7.20,20171011
7.21,20171025
7.22,20171108
7.23,20171121
7.24,20171206
7.24b,20171214
8.1,20180110
8.2,20180124
8.3,20180207
8.4,20180222
8.5,20180307
8.6,20180322
8.7,20180404
8.8,20180418
8.9,20180502
8.10,20180516
8.11,20180531
8.12,20180613
8.13,20180627
8.14,20180718
8.15,20180801
8.16,20180815
8.17,20180829
8.18,20180912
8.19,20180926
8.20,20181010
8.21,20181024
8.22,20181107
8.23,20181120
8.24,20181205
8.24b,20181218
9.1,20190109
9.2,20190124
9.3,20190206
9.4,20190221
9.5,20190306
9.6,20190320
9.7,20190403
9.8,20190417
9.9,20190501
9.10,20190514
9.11,20190530
9.12,20190612
9.13,20190626
9.14,20190717
9.15,20190731
9.16,20190814
9.17,20190828
9.18,20190911
9.19,20190925
9.20,20191009
9.21,20191023
9.22,20191106
9.23,20191120
9.24,20191211
9.24b,20191218
10.1,20200108
10.2,20200123
10.3,20200205
10.4,20200220
10.5,20200304
10.6,20200318
10.7,20200401
